site_i_enzyme,site_ii_enzyme,site_iii_enzyme,site_i_ovhg,site_ii_ovhg,site_iii_ovhg,pGEX-4T-1_compatible,pMAL-c5X_compatible,pET-21a(+)_compatible,pET-28a(+)_compatible,pET-28a(+)_start_codon_compatible,pCold_I_compatible,pUC18_compatible,pQE-3_compatible
MluI,NheI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,NheI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,False
MluI,NotI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
MluI,NotI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,NotI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
MluI,NotI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,NotI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,True
MluI,PacI,BbsI,-4,2,-4,False,False,False,False,False,False,True,False
MluI,PacI,BseRI,-4,2,2,False,False,False,False,False,False,True,False
MluI,PacI,BsgI,-4,2,2,False,False,False,False,False,False,True,True
MluI,PacI,BsmI,-4,2,2,False,False,False,False,False,False,True,False
MluI,PacI,BspMI,-4,2,-4,False,False,False,False,False,False,True,True
MluI,PspOMI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
MluI,PspOMI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,PspOMI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
MluI,PspOMI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,PspOMI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,True
MluI,SacII,BbsI,-4,2,-4,False,False,False,False,False,False,True,False
MluI,SacII,BseRI,-4,2,2,False,False,False,False,False,False,True,False
MluI,SacII,BsgI,-4,2,2,False,False,False,False,False,False,True,True
MluI,SacII,BsmI,-4,2,2,False,False,False,False,False,False,True,False
MluI,SacII,BspMI,-4,2,-4,False,False,False,False,False,False,True,True
MluI,SalI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
MluI,SalI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,SalI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
MluI,SalI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,SalI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,True
MluI,SpeI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
MluI,SpeI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,SpeI,BsgI,-4,-4,2,False,False,False,False,False,False,True,True
MluI,SpeI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,SpeI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,True
MluI,XbaI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
MluI,XbaI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,XbaI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,XbaI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,XbaI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,False
MluI,XhoI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
MluI,XhoI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,XhoI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,XhoI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
MluI,XhoI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,False
NarI,AflII,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,AflII,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,AgeI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,AgeI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,AscI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,AscI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,AvrII,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,AvrII,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,BclI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,BclI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,BglII,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,BglII,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,BsiWI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,BsiWI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,BsrGI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,BsrGI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,BssHII,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,BssHII,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,HindIII,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,HindIII,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,MluI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,MluI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,NotI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,NotI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,PacI,BsgI,-2,2,2,False,False,False,False,False,False,False,True
NarI,PacI,BspMI,-2,2,-4,False,False,False,False,False,False,False,True
NarI,PspOMI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,PspOMI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,SacII,BsgI,-2,2,2,False,False,False,False,False,False,False,True
NarI,SacII,BspMI,-2,2,-4,False,False,False,False,False,False,False,True
NarI,SalI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,SalI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NarI,SpeI,BsgI,-2,-4,2,False,False,False,False,False,False,False,True
NarI,SpeI,BspMI,-2,-4,-4,False,False,False,False,False,False,False,True
NcoI,AflII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,AflII,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,AflII,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
NcoI,AflII,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,AflII,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,AflII,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,AflII,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,AgeI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,AgeI,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,AgeI,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
NcoI,AgeI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,AgeI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,AgeI,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,AgeI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,AscI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,AscI,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,AscI,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
NcoI,AscI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,AscI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,AscI,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,AscI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,AvrII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,AvrII,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,AvrII,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
NcoI,AvrII,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,AvrII,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,AvrII,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,AvrII,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,BclI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,BclI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BclI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BclI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BclI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,BglII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,BglII,BseRI,-4,-4,2,True,False,False,False,False,True,True,False
NcoI,BglII,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BglII,BsmI,-4,-4,2,True,False,False,False,False,False,True,False
NcoI,BglII,BspMI,-4,-4,-4,False,False,False,False,False,True,True,False
NcoI,BglII,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,BsiWI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,BsiWI,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,BsiWI,BseRI,-4,-4,2,True,False,True,False,True,True,True,False
NcoI,BsiWI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BsiWI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,BsiWI,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,BsiWI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,BspEI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,BspEI,BseRI,-4,-4,2,True,False,False,False,False,True,True,False
NcoI,BspEI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BspEI,BsmI,-4,-4,2,True,False,False,False,False,False,True,False
NcoI,BspEI,BspMI,-4,-4,-4,False,False,False,False,False,True,True,False
NcoI,BspEI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,BsrGI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,BsrGI,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,BsrGI,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
NcoI,BsrGI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BsrGI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,BsrGI,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,BsrGI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,BssHII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,BssHII,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BssHII,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BssHII,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,BssHII,BspMI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,EcoRI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,EcoRI,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,EcoRI,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
