re1,re2,orthogonality
RgaI,BstKTI,0
RgaI,RgaI,0
RgaI,PacI,0
RgaI,PciI,4
RgaI,NcoI,4
RgaI,BspHI,4
RgaI,NlaIII,4
RgaI,SphI,4
RgaI,BseYI,4
RgaI,GsaI,4
RgaI,AgeI,4
RgaI,XmaI,4
RgaI,MreI,4
RgaI,KroI,4
RgaI,BspEI,4
RgaI,FseI,4
RgaI,AclI,4
RgaI,HpySE526I,4
RgaI,BspDI,4
RgaI,AciI,4
RgaI,HpaII,4
RgaI,Hin6I,4
RgaI,NarI,4
RgaI,TaqI,4
RgaI,BstBI,4
RgaI,HhaI,1
RgaI,MluI,4
RgaI,MauBI,4
RgaI,BssHII,4
RgaI,AscI,4
RgaI,SpeI,4
RgaI,AvrII,4
RgaI,NheI,4
RgaI,XbaI,4
RgaI,BspOI,4
RgaI,BglII,4
RgaI,BamHI,4
RgaI,BclI,4
RgaI,SacII,1
RgaI,SspDI,4
RgaI,BseX3I,4
RgaI,NotI,4
RgaI,PspOMI,4
RgaI,ApaI,4
RgaI,BsiWI,4
RgaI,Asp718I,4
RgaI,BsrGI,4
RgaI,KpnI,4
RgaI,PshBI,4
RgaI,NdeI,4
RgaI,BfaI,4
RgaI,Csp6I,4
RgaI,MseI,4
RgaI,BbvCI,4
RgaI,AbsI,4
RgaI,SgrDI,4
RgaI,XhoI,4
RgaI,SalI,4
RgaI,ApaLI,4
RgaI,EcoT22I,4
RgaI,SdaI,4
RgaI,PstI,4
RgaI,AflII,4
PacI,EcoRI,4
PacI,BauI,4
PacI,TaiI,4
PacI,AatII,4
PacI,HindIII,4
PacI,SacI,4
PacI,PvuI,0
PacI,BstKTI,0
PacI,RgaI,0
PacI,PacI,0
PacI,PciI,4
PacI,NcoI,4
PacI,BspHI,4
PacI,NlaIII,4
PacI,SphI,4
PacI,BseYI,4
PacI,GsaI,4
PacI,AgeI,4
PacI,XmaI,4
PacI,MreI,4
PacI,KroI,4
PacI,BspEI,4
PacI,FseI,4
PacI,AclI,4
PacI,HpySE526I,4
PacI,BspDI,4
PacI,AciI,4
PacI,HpaII,4
PacI,Hin6I,4
PacI,NarI,4
PacI,TaqI,4
PacI,BstBI,4
PacI,HhaI,1
PacI,MluI,4
PacI,MauBI,4
PacI,BssHII,4
PacI,AscI,4
PacI,SpeI,4
PacI,AvrII,4
PacI,NheI,4
PacI,XbaI,4
PacI,BspOI,4
PacI,BglII,4
PacI,BamHI,4
PacI,BclI,4
PacI,SacII,1
PacI,SspDI,4
PacI,BseX3I,4
PacI,NotI,4
PacI,PspOMI,4
PacI,ApaI,4
PacI,BsiWI,4
PacI,Asp718I,4
