,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
Eco32I,False,True,False,False,False,False,True,True
MnlI,False,False,False,False,False,False,False,False
AbaCIII,True,True,False,False,False,False,True,False
MjaIV,False,False,False,False,False,False,False,False
Msp20I,False,False,True,True,True,True,True,False
BmtI,True,True,True,False,True,False,True,False
BslI,False,False,False,False,False,False,False,False
AcyI,False,False,False,False,False,False,False,False
Bsp1407I,True,True,True,True,True,True,True,True
BspT104I,False,True,True,True,True,True,True,True
Bme18I,False,False,False,False,False,False,False,False
BmrFI,False,False,False,False,False,False,False,False
BseBI,False,False,False,False,False,False,False,False
Bsp1720I,True,False,False,False,False,True,True,False
GauT27I,True,True,True,True,True,True,True,True
SenTFIV,False,False,False,False,False,False,False,False
FinI,False,False,False,False,False,False,True,True
HindIII,True,True,True,True,True,True,True,True
KasI,False,False,False,False,False,False,False,True
BseGI,False,False,False,False,False,False,False,False
BsrDI,False,False,False,False,False,False,False,False
BtsCI,False,False,False,False,False,False,False,False
RpaTI,False,False,False,True,True,False,False,False
XmiI,True,True,False,False,False,True,True,False
SmoI,False,False,False,False,False,False,False,False
AspLEI,False,False,False,False,False,False,False,False
Bst2UI,False,False,False,False,False,False,False,False
CspI,True,False,True,True,True,True,True,True
Eco91I,False,False,False,False,False,False,True,True
ErhI,True,True,False,False,False,True,True,False
HpyF3I,False,False,False,False,False,False,False,False
MspR9I,False,False,False,False,False,False,False,False
PfeI,False,False,False,False,False,False,False,False
SgsI,True,True,True,True,True,True,True,True
Lba2029III,False,False,False,False,False,False,False,False
BseMII,False,False,False,False,False,False,False,False
PleI,False,False,False,False,False,False,False,False
BbsI,False,False,False,False,False,False,True,False
AccI,True,True,False,False,False,True,True,False
Pst14472I,False,False,False,False,False,False,False,False
HpyCH4V,False,False,False,False,False,False,False,False
Ksp632I,False,False,False,False,False,False,False,False
Pse18267I,False,False,False,False,False,False,False,False
BkrAM31DI,False,False,False,False,False,False,True,True
PinP23II,False,False,False,False,False,False,False,False
Psp5II,True,False,False,False,False,True,True,True
AsuHPI,False,False,False,False,False,False,False,False
Cdu23823II,False,False,False,False,False,False,False,False
SstE37I,False,False,False,False,False,False,True,True
DrdII,False,False,False,False,False,False,True,True
BseYI,False,False,False,False,False,False,False,False
BceAI,False,False,False,False,False,False,False,False
HincII,False,False,False,False,False,False,True,True
BciT130I,False,False,False,False,False,False,False,False
