enzyme,r1.1,r2.1,r3.1,rCutSmart,heat_inac,incu_temp,notes
SacI,10,50,<10,100,65°C,37°C,
SacII,10,100,10,100,65°C,37°C,
SalI,<10,<10,100,<10,65°C,37°C,
SalI,10,100,100,100,65°C,37°C,
SapI,75,50,<10,100,65°C,37°C,
Sau3AI,100,50,10,100+,65°C,37°C,b
Sau96I,50,100,100,100,65°C,37°C,
SbfI,50,25,<10,100,80°C,37°C,
ScaI,100,100,10,100,80°C,37°C,
ScrFI,100,100,100,100,65°C,37°C,"2, a"
SexAI,100,75,50,100,65°C,37°C,"3, b, d"
SfaNI,<10,75,100,25,65°C,37°C,"3, b"
SfcI,75,50,25,100,65°C,37°C,3
SfiI,25,100,50,100,No,50°C,
SfoI,50,100,100,100,No,37°C,
SgrAI,100,100,10,100,65°C,37°C,1
SmaI,<10,<10,<10,100,65°C,37°C,b
SmlI,25,75,25,100,No,55°C,b
SnaBI,50*,50,10,100,80°C,37°C,1
SpeI,25,50,10,100,80°C,37°C,
SphI,100,100,50,100+,65°C,37°C,2
SphI,50,25,10,100,65°C,37°C,
SrfI,10,50,0,100,65°C,37°C,
SspI,25,100,<10,100,65°C,37°C,
StuI,50,100,50,100,No,37°C,
StyD4I,10,100,100,100,65°C,37°C,
StyI,25,100,25,100,65°C,37°C,
SwaI,10,10,100,10,65°C,25°C,"b, d"
TaqI,50,100,50,100,No,65°C,
TfiI,50,100,100,100,No,65°C,
TseI,75,100,100,100,No,65°C,3
Tsp45I,100,50,<10,100,No,65°C,
TspMI,50*,75*,50*,100,No,75°C,d
TspRI,25,50,25,100,No,65°C,
Tth111I,25,100,25,100,No,65°C,b
WarmStart® Nt.BstNBI,0,10,100,25,80°C,55°C,
XbaI,<10,100,75,100,65°C,37°C,
XcmI,10,100,25,100*,65°C,37°C,2
XhoI,75,100,100,100,65°C,37°C,b
XmaI,25,50,<10,100,65°C,37°C,3
XmnI,50,75,<10,100,65°C,37°C,b
ZraI,100,25,10,100,80°C,37°C,
