,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
Psp0357II,False,False,True,True,True,True,False,False
PfrJS12V,False,False,False,False,False,False,False,False
SgrTI,False,False,False,False,False,False,False,False
FspI,False,False,False,False,False,False,False,False
HpaI,False,False,False,False,False,False,True,True
BcnI,False,False,False,False,False,False,False,False
BssECI,False,False,False,False,False,False,False,False
Bbr7017III,False,False,False,False,False,False,False,False
FinI,False,False,False,False,False,False,True,True
AquIV,False,False,False,False,False,True,False,False
StsI,False,False,False,False,False,False,False,False
CviKI_1,False,False,False,False,False,False,False,False
Eco72I,True,True,True,True,True,True,True,True
PspN4I,False,False,False,False,False,False,False,False
KspAI,False,False,False,False,False,False,True,True
OliI,True,True,True,True,True,True,True,True
Eco53kI,True,False,True,True,True,True,True,True
SmiMI,False,False,False,False,False,False,False,False
Mox20I,False,False,True,True,True,True,True,False
BstPAI,True,True,False,False,False,True,True,True
PmaCI,True,True,True,True,True,True,True,True
Eco47I,False,False,False,False,False,False,False,False
Van9116I,False,False,False,False,False,False,False,False
AseI,False,False,False,False,False,False,False,False
AxyI,False,False,True,True,True,True,True,True
Alw21I,False,False,False,False,False,False,False,False
SgsI,True,True,True,True,True,True,True,True
RsrII,True,False,True,True,True,True,True,True
BshVI,True,True,True,False,False,False,True,True
Fnu4HI,False,False,False,False,False,False,False,False
BcuI,True,True,True,True,True,True,True,True
SinI,False,False,False,False,False,False,False,False
Bsp119I,False,True,True,True,True,True,True,True
NciI,False,False,False,False,False,False,False,False
TfiI,False,False,False,False,False,False,False,False
DdeI,False,False,False,False,False,False,False,False
PinP23II,False,False,False,False,False,False,False,False
AsiGI,True,True,True,True,True,True,True,True
AbaSI,False,False,False,False,False,False,False,False
AsuNHI,True,True,True,False,True,False,True,False
BmeRI,False,False,False,True,True,False,False,False
BsrFI,False,False,False,False,False,False,False,False
PleI,False,False,False,False,False,False,False,False
BbsI,False,False,False,False,False,False,True,False
Bbr52II,False,False,False,False,False,False,False,False
Pfl8569I,False,False,False,False,False,False,False,False
SfeI,False,False,False,False,False,False,False,False
Eco52I,True,True,True,True,True,True,True,True
AflIII,False,False,False,False,False,False,False,False
NaeI,True,True,False,False,False,False,True,True
PshAI,True,True,False,False,False,True,True,True
BspFNI,False,False,False,False,False,False,False,False
Hin1I,False,False,False,False,False,False,False,False
CciNI,True,True,True,True,True,True,True,True
BshFI,False,False,False,False,False,False,False,False
Bce3081I,True,True,True,True,True,True,True,True
EcoNIH6II,False,False,False,False,False,False,False,False
SpnRII,False,False,False,False,False,False,True,False
BseYI,False,False,False,False,False,False,False,False
BceAI,False,False,False,False,False,False,False,False
DpnI,False,False,False,False,False,False,False,False
SimI,False,False,False,False,False,False,False,False
RpaB5I,True,True,False,False,False,True,True,True
FatI,False,False,False,False,False,False,False,False
DpnII,False,False,False,False,False,False,False,False
UbaF12I,False,True,False,False,False,False,False,False
HpyUM032XIII,False,False,False,False,False,False,False,False
Dde51507I,False,False,False,False,False,False,False,False
MabI,True,True,True,True,True,True,True,True
Adh6U21I,False,False,False,False,False,False,False,False
Alw26I,False,False,False,False,False,False,False,False
BstZI,True,True,True,True,True,True,True,True
KpnI,True,True,True,True,True,True,True,True
BsaHI,False,False,False,False,False,False,False,False
Asp700I,False,False,False,False,False,False,False,False
BssMI,False,False,False,False,False,False,False,False
PstI,False,True,False,True,True,True,True,True
BoxI,True,True,False,False,False,True,True,True
BstAUI,True,True,True,True,True,True,True,True
MaqI,True,False,False,False,False,True,True,True
Jsp2502II,False,False,False,False,False,False,False,False
Sau3AI,False,False,False,False,False,False,False,False
MlyI,False,False,False,False,False,False,False,False
MunI,True,False,True,True,True,True,True,False
TspMI,True,True,True,False,False,True,True,True
BssT1I,True,True,False,False,False,True,True,False
NheI,True,True,True,False,True,False,True,False
XmaI,True,True,True,False,False,True,True,True
MfeI,True,False,True,True,True,True,True,False
BstENI,False,True,False,False,False,False,True,True
Asp103I,True,False,False,False,False,True,True,True
NarI,False,False,False,False,False,False,False,True
PspLI,True,False,True,True,True,True,True,True
MauBI,True,True,True,True,True,True,True,True
VneI,False,False,False,False,False,False,False,False
PalAI,True,True,True,True,True,True,True,True
PteI,False,False,False,False,False,False,True,True
BmuI,False,False,False,False,False,False,False,False
AleI,True,True,True,True,True,True,True,True
MreI,True,True,True,True,True,True,True,True
PinAI,True,True,True,True,True,True,True,True
Psp03I,False,False,False,False,False,False,False,False
PvuII,False,False,False,False,False,False,False,False
Bsp460III,False,False,False,False,False,False,False,False
CjeNIII,False,False,False,False,False,False,False,False
NmeA6CIII,False,False,False,False,False,True,True,False
BstXI,False,False,False,False,False,False,True,True
Hpy188I,False,False,False,False,False,False,False,False
XcmI,False,False,False,False,False,False,True,True
GauT27I,True,True,True,True,True,True,True,True
HdeNY26I,False,False,False,False,False,False,False,True
