module_length,plasmid,successes,tests,success_rate
43,pET-28a(+),851,1000,0.851
43,pET-28a(+)_start_codon,913,1000,0.913
43,pCold_I,933,1000,0.933
43,pUC18,960,1000,0.96
43,pQE-3,912,1000,0.912
44,pGEX-4T-1,942,1000,0.942
44,pMAL-c5X,901,1000,0.901
44,pET-21a(+),902,1000,0.902
44,pET-28a(+),875,1000,0.875
44,pET-28a(+)_start_codon,916,1000,0.916
44,pCold_I,958,1000,0.958
44,pUC18,980,1000,0.98
44,pQE-3,907,1000,0.907
45,pGEX-4T-1,951,1000,0.951
45,pMAL-c5X,916,1000,0.916
45,pET-21a(+),910,1000,0.91
45,pET-28a(+),866,1000,0.866
45,pET-28a(+)_start_codon,894,1000,0.894
45,pCold_I,950,1000,0.95
45,pUC18,964,1000,0.964
45,pQE-3,918,1000,0.918
46,pGEX-4T-1,950,1000,0.95
46,pMAL-c5X,921,1000,0.921
46,pET-21a(+),921,1000,0.921
46,pET-28a(+),876,1000,0.876
46,pET-28a(+)_start_codon,923,1000,0.923
46,pCold_I,952,1000,0.952
46,pUC18,973,1000,0.973
46,pQE-3,938,1000,0.938
47,pGEX-4T-1,943,1000,0.943
47,pMAL-c5X,926,1000,0.926
47,pET-21a(+),933,1000,0.933
47,pET-28a(+),887,1000,0.887
47,pET-28a(+)_start_codon,917,1000,0.917
47,pCold_I,959,1000,0.959
47,pUC18,976,1000,0.976
47,pQE-3,935,1000,0.935
48,pGEX-4T-1,960,1000,0.96
48,pMAL-c5X,925,1000,0.925
48,pET-21a(+),931,1000,0.931
48,pET-28a(+),892,1000,0.892
48,pET-28a(+)_start_codon,922,1000,0.922
48,pCold_I,960,1000,0.96
48,pUC18,977,1000,0.977
48,pQE-3,933,1000,0.933
49,pGEX-4T-1,964,1000,0.964
49,pMAL-c5X,932,1000,0.932
49,pET-21a(+),939,1000,0.939
49,pET-28a(+),888,1000,0.888
49,pET-28a(+)_start_codon,924,1000,0.924
49,pCold_I,957,1000,0.957
49,pUC18,984,1000,0.984
49,pQE-3,937,1000,0.937
50,pGEX-4T-1,961,1000,0.961
50,pMAL-c5X,921,1000,0.921
50,pET-21a(+),939,1000,0.939
50,pET-28a(+),915,1000,0.915
50,pET-28a(+)_start_codon,952,1000,0.952
50,pCold_I,944,1000,0.944
50,pUC18,976,1000,0.976
50,pQE-3,953,1000,0.953
51,pGEX-4T-1,966,1000,0.966
51,pMAL-c5X,938,1000,0.938
51,pET-21a(+),947,1000,0.947
51,pET-28a(+),910,1000,0.91
51,pET-28a(+)_start_codon,937,1000,0.937
51,pCold_I,980,1000,0.98
51,pUC18,986,1000,0.986
51,pQE-3,945,1000,0.945
52,pGEX-4T-1,973,1000,0.973
52,pMAL-c5X,940,1000,0.94
52,pET-21a(+),944,1000,0.944
52,pET-28a(+),915,1000,0.915
52,pET-28a(+)_start_codon,938,1000,0.938
52,pCold_I,976,1000,0.976
52,pUC18,982,1000,0.982
52,pQE-3,946,1000,0.946
53,pGEX-4T-1,963,1000,0.963
53,pMAL-c5X,953,1000,0.953
53,pET-21a(+),965,1000,0.965
53,pET-28a(+),924,1000,0.924
53,pET-28a(+)_start_codon,942,1000,0.942
53,pCold_I,978,1000,0.978
53,pUC18,991,1000,0.991
53,pQE-3,948,1000,0.948
54,pGEX-4T-1,970,1000,0.97
54,pMAL-c5X,953,1000,0.953
54,pET-21a(+),951,1000,0.951
54,pET-28a(+),928,1000,0.928
54,pET-28a(+)_start_codon,968,1000,0.968
54,pCold_I,975,1000,0.975
54,pUC18,980,1000,0.98
54,pQE-3,951,1000,0.951
55,pGEX-4T-1,982,1000,0.982
55,pMAL-c5X,946,1000,0.946
55,pET-21a(+),947,1000,0.947
55,pET-28a(+),931,1000,0.931
55,pET-28a(+)_start_codon,955,1000,0.955
55,pCold_I,974,1000,0.974
55,pUC18,991,1000,0.991
55,pQE-3,954,1000,0.954
56,pGEX-4T-1,971,1000,0.971
56,pMAL-c5X,966,1000,0.966
56,pET-21a(+),965,1000,0.965
56,pET-28a(+),919,1000,0.919
56,pET-28a(+)_start_codon,957,1000,0.957
56,pCold_I,982,1000,0.982
56,pUC18,987,1000,0.987
56,pQE-3,959,1000,0.959
57,pGEX-4T-1,977,1000,0.977
57,pMAL-c5X,953,1000,0.953
57,pET-21a(+),969,1000,0.969
57,pET-28a(+),933,1000,0.933
57,pET-28a(+)_start_codon,963,1000,0.963
57,pCold_I,981,1000,0.981
57,pUC18,987,1000,0.987
