module_length,plasmid,success_rate,n_success,n_total,success_rate_pct
50,pUC18,0.976,976,1000,97.6
50,pQE-3,0.953,953,1000,95.3
51,pGEX-4T-1,0.966,966,1000,96.6
51,pMAL-c5X,0.938,938,1000,93.8
51,pET-21a(+),0.947,947,1000,94.69999999999999
51,pET-28a(+),0.91,910,1000,91.0
51,pET-28a(+)_start_codon,0.937,937,1000,93.7
51,pCold_I,0.98,980,1000,98.0
51,pUC18,0.986,986,1000,98.6
51,pQE-3,0.945,945,1000,94.5
52,pGEX-4T-1,0.973,973,1000,97.3
52,pMAL-c5X,0.94,940,1000,94.0
52,pET-21a(+),0.944,944,1000,94.39999999999999
52,pET-28a(+),0.915,915,1000,91.5
52,pET-28a(+)_start_codon,0.938,938,1000,93.8
52,pCold_I,0.976,976,1000,97.6
52,pUC18,0.982,982,1000,98.2
52,pQE-3,0.946,946,1000,94.6
53,pGEX-4T-1,0.963,963,1000,96.3
53,pMAL-c5X,0.953,953,1000,95.3
53,pET-21a(+),0.965,965,1000,96.5
53,pET-28a(+),0.924,924,1000,92.4
53,pET-28a(+)_start_codon,0.942,942,1000,94.19999999999999
53,pCold_I,0.978,978,1000,97.8
53,pUC18,0.991,991,1000,99.1
53,pQE-3,0.948,948,1000,94.8
54,pGEX-4T-1,0.97,970,1000,97.0
54,pMAL-c5X,0.953,953,1000,95.3
54,pET-21a(+),0.951,951,1000,95.1
54,pET-28a(+),0.928,928,1000,92.80000000000001
54,pET-28a(+)_start_codon,0.968,968,1000,96.8
54,pCold_I,0.975,975,1000,97.5
54,pUC18,0.98,980,1000,98.0
54,pQE-3,0.951,951,1000,95.1
55,pGEX-4T-1,0.982,982,1000,98.2
55,pMAL-c5X,0.946,946,1000,94.6
55,pET-21a(+),0.947,947,1000,94.69999999999999
55,pET-28a(+),0.931,931,1000,93.10000000000001
55,pET-28a(+)_start_codon,0.955,955,1000,95.5
55,pCold_I,0.974,974,1000,97.39999999999999
55,pUC18,0.991,991,1000,99.1
55,pQE-3,0.954,954,1000,95.39999999999999
56,pGEX-4T-1,0.971,971,1000,97.1
56,pMAL-c5X,0.966,966,1000,96.6
56,pET-21a(+),0.965,965,1000,96.5
56,pET-28a(+),0.919,919,1000,91.9
56,pET-28a(+)_start_codon,0.957,957,1000,95.7
56,pCold_I,0.982,982,1000,98.2
56,pUC18,0.987,987,1000,98.7
56,pQE-3,0.959,959,1000,95.89999999999999
57,pGEX-4T-1,0.977,977,1000,97.7
57,pMAL-c5X,0.953,953,1000,95.3
57,pET-21a(+),0.969,969,1000,96.89999999999999
57,pET-28a(+),0.933,933,1000,93.30000000000001
57,pET-28a(+)_start_codon,0.963,963,1000,96.3
57,pCold_I,0.981,981,1000,98.1
57,pUC18,0.987,987,1000,98.7
57,pQE-3,0.969,969,1000,96.89999999999999
58,pGEX-4T-1,0.976,976,1000,97.6
58,pMAL-c5X,0.955,955,1000,95.5
58,pET-21a(+),0.956,956,1000,95.6
58,pET-28a(+),0.937,937,1000,93.7
58,pET-28a(+)_start_codon,0.96,960,1000,96.0
58,pCold_I,0.986,986,1000,98.6
58,pUC18,0.996,996,1000,99.6
58,pQE-3,0.969,969,1000,96.89999999999999
59,pGEX-4T-1,0.981,981,1000,98.1
59,pMAL-c5X,0.965,965,1000,96.5
59,pET-21a(+),0.966,966,1000,96.6
59,pET-28a(+),0.946,946,1000,94.6
59,pET-28a(+)_start_codon,0.979,979,1000,97.89999999999999
59,pCold_I,0.983,983,1000,98.3
59,pUC18,0.991,991,1000,99.1
59,pQE-3,0.973,973,1000,97.3
60,pGEX-4T-1,0.984,984,1000,98.4
60,pMAL-c5X,0.976,976,1000,97.6
60,pET-21a(+),0.969,969,1000,96.89999999999999
60,pET-28a(+),0.951,951,1000,95.1
60,pET-28a(+)_start_codon,0.966,966,1000,96.6
60,pCold_I,0.985,985,1000,98.5
60,pUC18,0.989,989,1000,98.9
60,pQE-3,0.965,965,1000,96.5
